,source_id,ra,dec,pmra,pmdec,best_neighbour_multiplicity,number_of_mates,g_mean_psf_mag,i_mean_psf_mag,phi1,phi2,pm_phi1,pm_phi2
2920,747473190250453760,152.10706244045235,34.71268534495128,-5.044452961609494,-11.997431868897054,1,0,19.8556003570557,18.9291000366211,-39.51743827390101,-2.7085801777278613,-6.698228057075971,-0.8568090314836168
2921,747560017309217792,151.43166838486968,35.20041861508743,-5.882931446633275,-12.563835616893073,1,0,13.6697998046875,12.7810001373291,-39.49137311069245,-1.9712805433052831,-7.691656167586548,-0.47152473023415964
2922,747197934387333504,152.34858627369977,33.84082141200974,-4.638679205582704,-14.09839312529505,1,0,21.956600189209,19.718900680542,-40.062697316134006,-3.4181727177622827,-8.055301521652796,-2.5455465103788266
2923,747456869374641792,151.8613503176642,34.25510710081025,-3.8049628036332788,-14.47260205677959,1,0,17.7108993530273,17.2467994689941,-39.999978045515945,-2.843116716254446,-7.8401090613242825,-3.3541972974362873
2924,747306648598565632,152.34719440589205,34.69550875495492,-2.5331989593357296,-13.661568114785018,1,0,20.5408000946045,20.9062004089355,-39.40463446294217,-2.871590858205621,-6.364297651025107,-3.8843572389439838
2925,747450791996382848,151.31868704404786,34.742331843379645,-6.45306191810214,-11.884513982650398,1,0,20.7714004516602,20.1434001922607,-39.90542745725895,-2.1885354487157866,-7.532760085330427,0.4139291136015259
2926,747396533674531968,150.9718663337121,34.13768272078269,-3.764454782418026,-13.034845179455399,1,0,21.7269992828369,19.9288005828857,-40.55590539764677,-2.346499516210679,-6.758113938640619,-2.354468858949127
2927,747451200017980544,151.31335142627123,34.79703376944218,-6.267701177809143,-11.606571794878072,1,0,17.917200088501,17.3139991760254,-39.86570314756369,-2.150644132744955,-7.199801907615075,0.4462705577842611
2928,747329261601822720,151.25518491675615,33.796397229946436,-4.609870901199047,-13.38919611433828,1,0,18.3458995819092,17.9423007965088,-40.673777718909264,-2.743766649542091,-7.553002894403746,-1.9602395142234974
2929,747498307219237376,152.12022910512897,34.81265647216255,-3.9328593217748016,-12.747021679627425,1,0,20.0743007659912,18.7033004760742,-39.43338262471099,-2.653250865231683,-6.56649135655056,-2.1926117424815668
2930,747225009860406400,152.98285388495393,34.226435446668205,-2.9268191635865843,-13.595833345189197,1,0,19.0090007781982,17.8094997406006,-39.428647714220176,-3.574542022824448,-6.524892472749674,-3.6254635570364044
